generator,seed,target,target_is_hub,retention_pct,f1_full,f1_hif
vine,44,cost_burden_pct,False,77.85,0.46293706293706294,0.49479537517377004
vine,44,employment_status,False,77.85,0.49919871794871795,0.51995199519952
vine,44,household_size,False,77.85,0.5210727969348659,0.5331465919701214
vine,44,age_group,False,77.85,0.45791245791245794,0.5254212654873934
vine,45,household_income,True,79.45,0.45972716221691956,0.6950265874257116
vine,45,housing_cost,True,79.45,0.4444382467452783,0.5609723401403102
vine,45,poverty_status,True,79.45,0.46323790896159317,0.6186270574066639
vine,45,education,True,79.45,0.41990182954038374,0.4881060786685013
vine,45,tenure,True,79.45,0.4332766609994333,0.4994438264738599
vine,45,cost_burden_pct,False,79.45,0.538163537475576,0.572146454548251
vine,45,employment_status,False,79.45,0.4979863675409141,0.5044667978756463
vine,45,household_size,False,79.45,0.49809771809543923,0.4792349833528225
vine,45,age_group,False,79.45,0.4985737208058477,0.5093591423866654
vine,46,household_income,True,78.2,0.513198110586274,0.6488226554409977
vine,46,housing_cost,True,78.2,0.49310053506054635,0.5954032367741058
vine,46,poverty_status,True,78.2,0.39494562310572295,0.46391442671409605
vine,46,education,True,78.2,0.39360174248511304,0.4612794612794613
vine,46,tenure,True,78.2,0.6349178565177165,0.6198944151153098
vine,46,cost_burden_pct,False,78.2,0.47997688786168274,0.5065295915532093
vine,46,employment_status,False,78.2,0.4728589063490475,0.37478985992514147
vine,46,household_size,False,78.2,0.5552384880337975,0.5821447673382065
vine,46,age_group,False,78.2,0.5114373136277863,0.5660832897562278
vine,47,household_income,True,79.4,0.4508694566935685,0.6016810314124938
vine,47,housing_cost,True,79.4,0.4099409940994099,0.4879460948917324
vine,47,poverty_status,True,79.4,0.5709217391304348,0.6672008919239077
vine,47,education,True,79.4,0.6029760117439029,0.6309715512614064
vine,47,tenure,True,79.4,0.4141104653202512,0.44641250242052144
vine,47,cost_burden_pct,False,79.4,0.48770577290514217,0.5033098738763849
vine,47,employment_status,False,79.4,0.38235294117647056,0.40555761765354337
vine,47,household_size,False,79.4,0.48951231409740104,0.47716736339715915
vine,47,age_group,False,79.4,0.4719680472972211,0.5045838759927475
vine,48,household_income,True,74.6,0.4565217391304348,0.5980303487086724
vine,48,housing_cost,True,74.6,0.5327252733790496,0.6659042430161137
vine,48,poverty_status,True,74.6,0.5091455838459198,0.6294070512820513
vine,48,education,True,74.6,0.49498737468436715,0.5933288147646085
vine,48,tenure,True,74.6,0.47485080988917305,0.5556990779920716
vine,48,cost_burden_pct,False,74.6,0.5001546344358351,0.5109369242622182
vine,48,employment_status,False,74.6,0.5846313603322949,0.5114373136277863
vine,48,household_size,False,74.6,0.47902171856040787,0.46466541588492805
vine,48,age_group,False,74.6,0.4354269583627382,0.4696503496503497
vine,49,household_income,True,76.85,0.495743415486764,0.6097875509999889
vine,49,housing_cost,True,76.85,0.47665056360708535,0.5654305580317347
