dataset,generator,target,target_is_hub,seed,retention,violation_rate,f1_full,f1_filtered
census_acs,vine,cost_burden_pct,False,44,75.85,0.2415,0.4366291364711586,0.47780969249719857
census_acs,vine,employment_status,False,44,75.85,0.2415,0.5623143119866068,0.49831649831649827
census_acs,vine,household_size,False,44,75.85,0.2415,0.578762314638295,0.5483569983199339
census_acs,vine,age_group,False,44,75.85,0.2415,0.49910962319253505,0.5103453247783145
census_acs,vine,household_income,True,45,75.44999999999999,0.2455,0.4642796976605757,0.7148661454960801
census_acs,vine,housing_cost,True,45,75.44999999999999,0.2455,0.41080087128029796,0.6392607361877409
census_acs,vine,poverty_status,True,45,75.44999999999999,0.2455,0.5023989491378255,0.6042427423451845
census_acs,vine,education,True,45,75.44999999999999,0.2455,0.47802425047990393,0.5369729109365415
census_acs,vine,tenure,True,45,75.44999999999999,0.2455,0.44752149686622844,0.46391442671409605
census_acs,vine,cost_burden_pct,False,45,75.44999999999999,0.2455,0.5635211540568097,0.5969362658983908
census_acs,vine,employment_status,False,45,75.44999999999999,0.2455,0.5012662943307266,0.5149339771246642
census_acs,vine,household_size,False,45,75.44999999999999,0.2455,0.5026646936436765,0.4966163282994966
census_acs,vine,age_group,False,45,75.44999999999999,0.2455,0.49782976818420693,0.4939752999824645
census_acs,vine,household_income,True,46,75.75,0.2425,0.5165323701028064,0.7308524954654496
census_acs,vine,housing_cost,True,46,75.75,0.2425,0.5077127817047348,0.6184392014519056
census_acs,vine,poverty_status,True,46,75.75,0.2425,0.40634345365810276,0.5206960762210142
census_acs,vine,education,True,46,75.75,0.2425,0.4616969124432979,0.531343174940018
census_acs,vine,tenure,True,46,75.75,0.2425,0.609982665896262,0.6392607361877409
census_acs,vine,cost_burden_pct,False,46,75.75,0.2425,0.5099346298827605,0.5379464285714286
census_acs,vine,employment_status,False,46,75.75,0.2425,0.44789011178418225,0.45085973555585845
census_acs,vine,household_size,False,46,75.75,0.2425,0.5516355302451559,0.5770539214457067
census_acs,vine,age_group,False,46,75.75,0.2425,0.5699569956995699,0.5749988194411652
census_acs,vine,household_income,True,47,77.7,0.223,0.4934430970667025,0.6265172735760971
census_acs,vine,housing_cost,True,47,77.7,0.223,0.40871230680147874,0.5740048279452833
census_acs,vine,poverty_status,True,47,77.7,0.223,0.5882064570348065,0.6960965287470172
census_acs,vine,education,True,47,77.7,0.223,0.6173117683594261,0.6682586915389296
census_acs,vine,tenure,True,47,77.7,0.223,0.5082239768521084,0.549404949477398
census_acs,vine,cost_burden_pct,False,47,77.7,0.223,0.4699057610241821,0.4849642336273352
census_acs,vine,employment_status,False,47,77.7,0.223,0.397832195905259,0.4232553474259635
census_acs,vine,household_size,False,47,77.7,0.223,0.45265215168709105,0.46330914072849555
census_acs,vine,age_group,False,47,77.7,0.223,0.4635084522724972,0.4919011082693947
census_acs,vine,household_income,True,48,75.94999999999999,0.2405,0.4547035996253178,0.6345523266000851
census_acs,vine,housing_cost,True,48,75.94999999999999,0.2405,0.5425125721735891,0.6716460263088555
census_acs,vine,poverty_status,True,48,75.94999999999999,0.2405,0.49263086802541867,0.574658545332225
census_acs,vine,education,True,48,75.94999999999999,0.2405,0.5346264084223168,0.607940184462753
census_acs,vine,tenure,True,48,75.94999999999999,0.2405,0.49582122093023256,0.5310595980110653
census_acs,vine,cost_burden_pct,False,48,75.94999999999999,0.2405,0.47916666666666663,0.48937030764175027
census_acs,vine,employment_status,False,48,75.94999999999999,0.2405,0.5985341176009473,0.606137139932576
census_acs,vine,household_size,False,48,75.94999999999999,0.2405,0.5149986527740356,0.5089305598859739
census_acs,vine,age_group,False,48,75.94999999999999,0.2405,0.47873768771648745,0.4086293211522514
census_acs,vine,household_income,True,49,77.7,0.223,0.5047315323741615,0.64793061438902
census_acs,vine,housing_cost,True,49,77.7,0.223,0.5050505050505051,0.6682218190002751
census_acs,vine,poverty_status,True,49,77.7,0.223,0.5215058394627083,0.6195286195286196
census_acs,vine,education,True,49,77.7,0.223,0.3866394061958309,0.5164033751709264
census_acs,vine,tenure,True,49,77.7,0.223,0.48331036934974886,0.5323695788812068
census_acs,vine,cost_burden_pct,False,49,77.7,0.223,0.5232856618995232,0.506578947368421
census_acs,vine,employment_status,False,49,77.7,0.223,0.500887682979935,0.4807892004153686
census_acs,vine,household_size,False,49,77.7,0.223,0.4686494699226741,0.45914115634392816
census_acs,vine,age_group,False,49,77.7,0.223,0.6064958877424864,0.5824239454812703
census_acs,vine,household_income,True,50,77.25,0.2275,0.4665718349928876,0.6743405395926751
census_acs,vine,housing_cost,True,50,77.25,0.2275,0.4331758821894971,0.6062291434927698
census_acs,vine,poverty_status,True,50,77.25,0.2275,0.4632804232804233,0.5904367546343829
census_acs,vine,education,True,50,77.25,0.2275,0.4848840989222575,0.6028921023359288
census_acs,vine,tenure,True,50,77.25,0.2275,0.4565217391304348,0.5181855573182913
census_acs,vine,cost_burden_pct,False,50,77.25,0.2275,0.4872425041333393,0.4797653577954704
census_acs,vine,employment_status,False,50,77.25,0.2275,0.45978391356542614,0.44431929113163626
census_acs,vine,household_size,False,50,77.25,0.2275,0.4346166503990031,0.4395810601959503
census_acs,vine,age_group,False,50,77.25,0.2275,0.45255474452554745,0.4742308736782282
census_acs,vine,household_income,True,51,77.55,0.2245,0.445458999599127,0.604301948051948
census_acs,vine,housing_cost,True,51,77.55,0.2245,0.45553691040929667,0.6108427267847558
census_acs,vine,poverty_status,True,51,77.55,0.2245,0.469150641025641,0.5377349010149733
census_acs,vine,education,True,51,77.55,0.2245,0.4499449944994499,0.541862201959626
census_acs,vine,tenure,True,51,77.55,0.2245,0.5382704868162611,0.6066273293996066
census_acs,vine,cost_burden_pct,False,51,77.55,0.2245,0.5544542064028435,0.5663082337246979
census_acs,vine,employment_status,False,51,77.55,0.2245,0.538147458137641,0.4877232142857143
census_acs,vine,household_size,False,51,77.55,0.2245,0.5135284234810301,0.5147722125108731
census_acs,vine,age_group,False,51,77.55,0.2245,0.48023028922486144,0.46563852813852813
credit,ctgan,pay_2,True,42,33.800000000000004,0.662,0.1552595177153425,0.15669011444849817
credit,ctgan,pay_3,True,42,33.800000000000004,0.662,0.09628104253072006,0.1277985538081512
credit,ctgan,pay_5,True,42,33.800000000000004,0.662,0.10520224528725741,0.11668655602066046
credit,ctgan,pay_4,True,42,33.800000000000004,0.662,0.08939891113460306,0.08928571428571429
credit,ctgan,pay_6,True,42,33.800000000000004,0.662,0.09003215434083602,0.10094696180622528
credit,ctgan,default_payment,False,42,33.800000000000004,0.662,0.45586586593734607,0.47769717549004476
credit,ctgan,limit_bal,False,42,33.800000000000004,0.662,0.4514328951101863,0.4026460567265004
credit,ctgan,age,False,42,33.800000000000004,0.662,0.46650200679221976,0.5085685483870968
credit,ctgan,pay_0,False,42,33.800000000000004,0.662,0.12419147569072606,0.13728109497340268
credit,ctgan,bill_amt1,False,42,33.800000000000004,0.662,0.4210114119489819,0.4320899291283016
credit,ctgan,pay_amt1,False,42,33.800000000000004,0.662,0.3392070484581498,0.3384009524681747
