dataset,generator,attribute,seed,violation_rate,retention,max_flag_gap,max_share_shift_pp,tvd
credit,vine,sex,47,0.7725,0.2275,0.005868383028493462,0.6324175824175826,0.006324175824175798
credit,vine,marriage,47,0.7725,0.2275,0.23704520396912898,1.90274725274725,0.019027472527472486
credit,vine,age_quartile,47,0.7725,0.2275,0.16386554621848748,9.734065934065933,0.13957142857142857
credit,vine,sex,48,0.726,0.274,0.00813035276048013,0.7109489051094875,0.007109489051094875
credit,vine,marriage,48,0.726,0.274,0.29886363636363633,3.992700729927007,0.03992700729927011
credit,vine,age_quartile,48,0.726,0.274,0.2124636861044804,10.863868613138683,0.15403649635036493
credit,vine,sex,49,0.6935,0.3065,0.038162389446812495,2.9715334420880923,0.029715334420880923
credit,vine,marriage,49,0.6935,0.3065,0.317351598173516,1.5507340946166404,0.015507340946166447
credit,vine,age_quartile,49,0.6935,0.3065,0.13178095321076944,5.2185970636215355,0.05409380097879282
credit,vine,sex,50,0.702,0.298,0.0030881041994236247,0.247315436241613,0.0024731543624161023
credit,vine,marriage,50,0.702,0.298,0.5357142857142857,0.71107382550335,0.009077181208053672
credit,vine,age_quartile,50,0.702,0.298,0.07520726411369916,3.725838926174496,0.04485906040268456
credit,vine,sex,51,0.7035,0.2965,0.039077220177979544,3.1564080944350756,0.03156408094435073
credit,vine,marriage,51,0.7035,0.2965,0.5,3.6601180438448564,0.03710118043844853
credit,vine,age_quartile,51,0.7035,0.2965,0.13656451868712194,6.198397976391232,0.0619839797639123
credit,ctgan,sex,42,0.839,0.161,0.016139423336700043,2.411801242236028,0.024118012422360252
credit,ctgan,marriage,42,0.839,0.161,0.04064039408866993,0.9105590062111812,0.011183229813664586
credit,ctgan,age_quartile,42,0.839,0.161,0.18400746629335196,16.928260869565214,0.20515217391304347
credit,ctgan,sex,43,0.835,0.165,0.014537942526810399,2.0515151515151486,0.020515151515151486
credit,ctgan,marriage,43,0.835,0.165,0.10294831772459245,1.3439393939393973,0.013439393939393963
credit,ctgan,age_quartile,43,0.835,0.165,0.13499587312816885,12.022727272727273,0.13821212121212123
credit,ctgan,sex,44,0.813,0.187,0.018716497190245707,2.414705882352941,0.02414705882352941
credit,ctgan,marriage,44,0.813,0.187,0.13385861823361822,4.656684491978613,0.04656684491978613
credit,ctgan,age_quartile,44,0.813,0.187,0.21994262202257364,17.467914438502675,0.23188235294117648
credit,ctgan,sex,45,0.8435,0.1565,0.002441804356145716,0.3750798722044757,0.003750798722044729
credit,ctgan,marriage,45,0.8435,0.1565,0.1718009478672986,4.125878594249205,0.04125878594249202
credit,ctgan,age_quartile,45,0.8435,0.1565,0.13117165301688116,11.625079872204475,0.1414856230031949
credit,ctgan,sex,46,0.7755,0.2245,0.005688393929468294,0.5801781737193812,0.005801781737193784
credit,ctgan,marriage,46,0.7755,0.2245,0.057646345070589744,6.220267260579066,0.06283964365256126
