dataset,generator,seed,target,task,hif_score,violation_rate,ks_score,tstr_score,trr_score,tstr_ratio,time_s
supermarket_sales,ctgan,43,branch,classification,0.7066,0.25,65.28571428571429,0.2318,0.3869,0.5991,26.5
supermarket_sales,ctgan,43,product_line,classification,0.7066,0.25,65.28571428571429,0.1309,0.167,0.7836,26.5
supermarket_sales,ctgan,43,customer_type,classification,0.7066,0.25,65.28571428571429,0.5325,0.4973,1.0708,26.5
supermarket_sales,ctgan,43,payment,classification,0.7066,0.25,65.28571428571429,0.2997,0.3238,0.9254,26.5
supermarket_sales,ctgan,43,gender,classification,0.7066,0.25,65.28571428571429,0.5055,0.4865,1.0392,26.5
supermarket_sales,ctgan,44,unit_price,regression,0.1455,0.882,67.68571428571428,-0.201,0.9924,-0.2025,40.7
supermarket_sales,ctgan,44,gross_income,regression,0.1455,0.882,67.68571428571428,-1.0738,0.9999,-1.0739,40.7
supermarket_sales,ctgan,44,branch,classification,0.1455,0.882,67.68571428571428,0.3737,0.362,1.0323,40.7
supermarket_sales,ctgan,44,product_line,classification,0.1455,0.882,67.68571428571428,0.1212,0.1505,0.8055,40.7
supermarket_sales,ctgan,44,customer_type,classification,0.1455,0.882,67.68571428571428,0.4303,0.5097,0.8442,40.7
supermarket_sales,ctgan,44,payment,classification,0.1455,0.882,67.68571428571428,0.2947,0.3461,0.8515,40.7
supermarket_sales,ctgan,44,gender,classification,0.1455,0.882,67.68571428571428,0.5186,0.4257,1.2182,40.7
supermarket_sales,tvae,42,unit_price,regression,0.7433,0.21,38.228571428571435,-0.0123,0.9939,-0.0123,9.5
supermarket_sales,tvae,42,gross_income,regression,0.7433,0.21,38.228571428571435,-0.2918,0.9999,-0.2918,9.5
supermarket_sales,tvae,42,branch,classification,0.7433,0.21,38.228571428571435,0.2988,0.3396,0.8798,9.5
supermarket_sales,tvae,42,product_line,classification,0.7433,0.21,38.228571428571435,0.1051,0.1655,0.6348,9.5
supermarket_sales,tvae,42,customer_type,classification,0.7433,0.21,38.228571428571435,0.4283,0.5199,0.8237,9.5
supermarket_sales,tvae,42,payment,classification,0.7433,0.21,38.228571428571435,0.1741,0.337,0.5165,9.5
supermarket_sales,tvae,42,gender,classification,0.7433,0.21,38.228571428571435,0.4518,0.5599,0.807,9.5
supermarket_sales,tvae,43,unit_price,regression,0.7692,0.2,43.885714285714286,-0.3149,0.9886,-0.3186,4.2
supermarket_sales,tvae,43,gross_income,regression,0.7692,0.2,43.885714285714286,-0.0506,0.9975,-0.0507,4.2
supermarket_sales,tvae,43,branch,classification,0.7692,0.2,43.885714285714286,0.2545,0.3869,0.6579,4.2
supermarket_sales,tvae,43,product_line,classification,0.7692,0.2,43.885714285714286,0.0939,0.167,0.562,4.2
supermarket_sales,tvae,43,customer_type,classification,0.7692,0.2,43.885714285714286,0.5133,0.4973,1.0322,4.2
supermarket_sales,tvae,43,payment,classification,0.7692,0.2,43.885714285714286,0.255,0.3238,0.7875,4.2
supermarket_sales,tvae,43,gender,classification,0.7692,0.2,43.885714285714286,0.442,0.4865,0.9086,4.2
supermarket_sales,tvae,44,unit_price,regression,0.703,0.28,39.51428571428572,-0.7403,0.9924,-0.746,2.1
supermarket_sales,tvae,44,gross_income,regression,0.703,0.28,39.51428571428572,-0.3019,0.9999,-0.3019,2.1
